SHIP_ID,SHIP_TYPE,ROUTE_ID,MONTH,DISTANCE,WEATHER_CONDITIONS,ENGINE_EFFICIENCY,Actual_Fuel_L,Predicted_Fuel_L,Fuel_Error_L,Actual_CO2_kg,Predicted_CO2_kg,CO2_Error_kg
NG002,TYPE2,ROUTE1,January,92.03,Moderate,85.52,2222.43,2337.3745000000004,114.94450000000052,5766.12,6870.7743999999975,1104.6543999999976
NG002,TYPE2,ROUTE4,February,141.91,Calm,83.52,3669.79,3661.0078999999982,8.78210000000172,10052.39,10005.79410000001,46.59589999998934
NG002,TYPE2,ROUTE4,March,51.65,Calm,74.32,1353.75,1322.9296999999997,30.820300000000316,3649.81,3592.4968999999987,57.313100000001214
NG002,TYPE2,ROUTE3,April,197.46,Moderate,89.36,5695.04,5561.003599999999,134.03640000000087,16991.82,16095.59380000001,896.2261999999901
NG002,TYPE2,ROUTE2,May,72.25,Stormy,78.01,1873.13,1857.6686000000007,15.461399999999458,5427.9,5241.2484,186.65159999999923
NG002,TYPE2,ROUTE2,June,183.15,Calm,80.83,3743.91,4136.553499999994,392.64349999999376,9542.8,11013.510600000016,1470.7106000000167
NG002,TYPE2,ROUTE1,July,160.43,Stormy,77.8,3626.57,3706.709700000004,80.13970000000381,10355.16,10577.147700000007,221.98770000000695
NG002,TYPE2,ROUTE2,August,121.07,Calm,76.08,2441.62,2675.0255999999995,233.4055999999996,6537.61,7035.510299999992,497.90029999999206
NG002,TYPE2,ROUTE3,September,193.59,Calm,87.91,5565.57,5386.028900000001,179.54109999999855,15355.6,15148.36090000001,207.23909999998978
NG002,TYPE2,ROUTE4,October,144.15,Moderate,83.86,3649.72,3531.679000000002,118.0409999999979,9225.45,10148.441499999995,922.9914999999946
NG002,TYPE2,ROUTE3,November,154.6,Stormy,92.07,4592.25,4301.5223000000005,290.72769999999946,12442.34,11969.801900000002,472.53809999999794
NG002,TYPE2,ROUTE2,December,173.83,Calm,76.39,5049.27,4903.865900000005,145.4040999999952,14184.19,13920.567799999983,263.622200000018
NG003,TYPE1,ROUTE4,January,112.97,Stormy,70.62,3256.57,3255.0892000000035,1.4807999999966341,8593.47,8695.434299999988,101.96429999998873
NG003,TYPE1,ROUTE3,February,45.14,Moderate,71.66,1485.59,1365.5456999999997,120.04430000000025,4280.62,3715.8389999999986,564.7810000000013
NG003,TYPE1,ROUTE2,March,29.38,Calm,81.53,855.01,869.5018999999992,14.491899999999191,2195.9,2305.817299999997,109.91729999999689
NG003,TYPE1,ROUTE2,April,42.24,Moderate,94.55,1376.47,1305.5059000000006,70.96409999999946,3818.13,3586.4989000000032,231.63109999999688
NG003,TYPE1,ROUTE1,May,135.8,Moderate,75.27,4750.93,4523.636799999993,227.29320000000735,13723.76,12885.101200000001,838.6587999999992
NG003,TYPE1,ROUTE3,June,71.68,Stormy,87.39,1823.65,1919.393299999998,95.74329999999782,5462.13,5635.878300000004,173.74830000000384
NG003,TYPE1,ROUTE4,July,149.48,Calm,79.75,4211.85,4222.881599999996,11.031599999995706,12512.93,12220.339200000004,292.5907999999963
NG003,TYPE1,ROUTE1,August,95.13,Stormy,85.76,3105.75,3016.5496,89.20040000000017,9081.23,8648.974699999995,432.25530000000435
NG003,TYPE1,ROUTE1,September,128.87,Moderate,93.64,3322.01,4088.7036999999978,766.6936999999975,8854.93,11053.973399999999,2199.0433999999987
NG003,TYPE1,ROUTE4,October,33.63,Stormy,83.25,1146.14,997.5180000000001,148.62199999999996,2913.96,2739.4534999999996,174.50650000000041
NG003,TYPE1,ROUTE2,November,110.44,Stormy,71.78,2852.88,2992.4141000000027,139.53410000000258,7506.96,8049.237699999995,542.2776999999951
NG003,TYPE1,ROUTE4,December,59.01,Moderate,75.24,1685.14,1707.9863000000018,22.846300000001747,4526.48,4581.218199999996,54.73819999999614
NG004,TYPE3,ROUTE4,January,86.9,Calm,70.52,1698.32,1488.3175000000017,210.00249999999824,4498.8,4051.762799999999,447.0372000000011
NG004,TYPE3,ROUTE3,February,58.95,Stormy,75.07,734.45,798.4239999999994,63.973999999999364,1960.81,2133.4544999999985,172.64449999999852
NG004,TYPE3,ROUTE2,March,64.67,Calm,90.92,1271.96,1166.7580000000014,105.20199999999863,3285.93,3131.016299999997,154.9137000000028
NG004,TYPE3,ROUTE3,April,39.85,Stormy,73.87,670.74,671.8714999999996,1.131499999999619,1720.02,1777.7933999999982,57.77339999999822
NG004,TYPE3,ROUTE4,May,192.04,Calm,72.3,3037.36,3140.8179999999948,103.45799999999463,7648.96,8192.493399999996,543.5333999999957
NG004,TYPE3,ROUTE1,June,111.84,Stormy,75.06,1440.61,1575.6084000000008,134.99840000000086,4170.02,4478.037499999998,308.0174999999972
NG004,TYPE3,ROUTE3,July,165.4,Calm,79.71,2811.38,2667.532400000001,143.84759999999915,8143.0,7675.544500000001,467.4554999999991
NG004,TYPE3,ROUTE2,August,162.48,Calm,70.62,2082.27,2181.460699999998,99.19069999999783,5954.64,6165.690100000006,211.05010000000584
NG004,TYPE3,ROUTE2,September,183.71,Calm,78.82,2460.76,2532.9701000000023,72.21010000000206,6454.7,6613.049199999997,158.34919999999693
NG004,TYPE3,ROUTE3,October,80.93,Moderate,89.57,977.22,1067.2059000000008,89.98590000000081,2612.85,2894.1267000000003,281.27670000000035
NG004,TYPE3,ROUTE1,November,170.44,Calm,89.0,1995.64,2109.2582000000025,113.61820000000239,5617.77,6010.690100000007,392.92010000000664
NG004,TYPE3,ROUTE4,December,181.02,Moderate,84.91,1983.66,2191.4543000000012,207.79430000000116,5019.8,5784.183799999996,764.383799999996
NG005,TYPE4,ROUTE4,January,336.53,Calm,72.59,15596.39,14221.997399999986,1374.3926000000138,42180.94,38871.46529999999,3309.4747000000134
NG005,TYPE4,ROUTE4,February,494.24,Stormy,94.18,18375.75,19385.625399999997,1009.8753999999972,46753.73,53189.71830000006,6435.9883000000555
NG005,TYPE4,ROUTE1,March,159.49,Calm,74.34,5906.8,5814.919199999998,91.88080000000173,17358.94,16662.705099999974,696.2349000000249
NG005,TYPE4,ROUTE2,April,363.22,Calm,75.92,17778.61,17306.023600000022,472.5863999999783,53142.22,50768.96050000002,2373.2594999999783
NG005,TYPE4,ROUTE1,May,77.01,Moderate,71.15,2362.84,2838.306099999999,475.46609999999873,6230.95,7712.602099999994,1481.6520999999939
NG005,TYPE4,ROUTE4,June,436.73,Moderate,88.75,20235.74,17577.04609999999,2658.693900000013,56400.31,49821.95329999998,6578.3567000000185
NG005,TYPE4,ROUTE1,July,405.98,Moderate,89.93,12469.38,14041.821699999982,1572.441699999983,35971.47,38898.634500000066,2927.1645000000644
NG005,TYPE4,ROUTE2,August,77.51,Moderate,71.44,2841.99,2866.3139999999967,24.323999999996886,7692.62,7773.4692999999925,80.84929999999258
NG005,TYPE4,ROUTE2,September,134.88,Calm,87.7,5792.23,5534.083999999994,258.1460000000052,15446.17,14809.833999999997,636.336000000003
NG005,TYPE4,ROUTE1,October,199.13,Calm,92.1,7219.15,7770.441600000002,551.2916000000023,18859.62,22494.88110000001,3635.2611000000106
NG005,TYPE4,ROUTE4,November,441.93,Calm,79.16,17429.33,15495.309999999996,1934.020000000006,51377.83,43169.7363,8208.093700000005
NG005,TYPE4,ROUTE3,December,172.3,Calm,76.53,8249.38,7733.872400000004,515.5075999999954,24081.26,22296.744899999994,1784.5151000000042
NG006,TYPE3,ROUTE3,January,147.9,Stormy,87.24,2656.39,2642.6046000000038,13.785399999996116,7258.52,7175.131400000005,83.38859999999568
NG006,TYPE3,ROUTE4,February,44.52,Stormy,94.2,663.13,701.3402999999993,38.21029999999928,1891.44,1937.5215000000012,46.08150000000114
NG006,TYPE3,ROUTE3,March,113.0,Moderate,76.44,1635.86,1661.6263999999992,25.766399999999294,4560.25,4573.7753999999995,13.525399999999536
NG006,TYPE3,ROUTE3,April,87.17,Stormy,92.06,1604.67,1533.3564999999996,71.31350000000043,4669.62,4401.103800000001,268.5161999999991
NG006,TYPE3,ROUTE4,May,197.78,Stormy,73.67,3001.65,3106.7631999999985,105.11319999999841,7873.3,8194.885000000004,321.5850000000037
NG006,TYPE3,ROUTE1,June,62.36,Calm,93.83,1164.2,1078.218299999999,85.98170000000096,2944.68,2878.9117999999958,65.76820000000407
NG006,TYPE3,ROUTE1,July,158.07,Stormy,81.67,2584.62,2598.6210999999985,14.001099999998587,7211.22,7069.476499999991,141.7435000000096
NG006,TYPE3,ROUTE1,August,117.52,Moderate,89.42,1895.33,1903.8712999999987,8.541299999998728,5369.6,5320.662699999992,48.93730000000869
NG006,TYPE3,ROUTE3,September,155.32,Stormy,87.02,2351.29,2358.828900000001,7.538900000000922,6941.15,6915.661900000007,25.4880999999923
NG006,TYPE3,ROUTE4,October,145.53,Moderate,79.32,2773.1,2636.3270000000007,136.77299999999923,8311.52,7702.069700000005,609.4502999999959
NG006,TYPE3,ROUTE2,November,34.55,Calm,85.62,635.93,535.1945,100.7355,1664.64,1541.305299999999,123.33470000000102
NG006,TYPE3,ROUTE3,December,129.52,Calm,88.26,1437.19,1566.2686000000008,129.07860000000073,4194.45,4427.915300000003,233.46530000000348
NG007,TYPE3,ROUTE1,January,66.87,Calm,86.15,700.97,850.9818000000002,150.01180000000022,1962.76,2339.8011000000015,377.0411000000015
NG007,TYPE3,ROUTE4,February,31.95,Moderate,88.57,354.39,365.01979999999986,10.629799999999875,1027.23,1022.5052999999996,4.724700000000439
NG007,TYPE3,ROUTE3,March,134.85,Moderate,88.42,1486.38,1594.7953000000011,108.41530000000103,4270.31,4395.120199999999,124.81019999999899
NG007,TYPE3,ROUTE4,April,111.86,Stormy,94.84,1817.6,1864.7041000000015,47.10410000000161,4665.14,4842.634700000006,177.49470000000565
NG007,TYPE3,ROUTE2,May,77.89,Stormy,80.75,916.5,995.2926999999996,78.79269999999963,2389.22,2654.3523999999998,265.13239999999996
NG007,TYPE3,ROUTE2,June,147.09,Calm,86.78,2905.05,2336.0043,569.0457000000001,8256.81,6683.1174999999985,1573.692500000001
NG007,TYPE3,ROUTE4,July,52.12,Stormy,80.59,815.52,831.2468999999998,15.726899999999773,2070.1,2213.8578000000034,143.7578000000035
NG007,TYPE3,ROUTE2,August,46.21,Calm,74.71,644.66,721.8002000000009,77.14020000000096,1764.81,1963.4875999999986,198.67759999999862
NG007,TYPE3,ROUTE2,September,54.78,Moderate,87.9,1025.44,977.5210000000006,47.918999999999414,2795.27,2727.7710999999967,67.49890000000323
NG007,TYPE3,ROUTE4,October,56.75,Moderate,74.54,746.58,893.0113999999998,146.4313999999997,2121.01,2599.0166,478.0065999999997
NG007,TYPE3,ROUTE2,November,90.91,Stormy,72.61,1628.86,1565.9132999999988,62.9467000000011,4516.17,4337.424199999997,178.74580000000333
NG007,TYPE3,ROUTE1,December,37.38,Moderate,79.05,553.42,572.5500999999994,19.130099999999402,1518.98,1551.4367000000002,32.45670000000018
NG008,TYPE4,ROUTE3,January,312.45,Calm,79.01,14284.0,13732.457199999997,551.5428000000029,38368.72,37568.15300000003,800.5669999999736
NG008,TYPE4,ROUTE3,February,423.27,Calm,94.38,18214.68,17306.068499999983,908.6115000000173,52122.46,48963.6446,3158.8153999999995
NG008,TYPE4,ROUTE4,March,337.15,Moderate,93.83,14409.96,13546.233700000004,863.7262999999948,41238.1,37808.54670000002,3429.5532999999778
NG008,TYPE4,ROUTE3,April,261.92,Moderate,70.95,11898.51,11116.831800000004,781.6781999999967,29771.29,29298.263600000017,473.0263999999843
NG008,TYPE4,ROUTE4,May,448.48,Stormy,89.59,13719.78,15427.952500000009,1708.1725000000079,40233.07,44400.90459999997,4167.834599999973
NG008,TYPE4,ROUTE3,June,77.81,Calm,79.56,3197.24,3234.4354999999964,37.19549999999663,8310.12,8634.641099999999,324.5210999999981
NG008,TYPE4,ROUTE2,July,58.63,Stormy,80.86,2824.38,2742.6621000000036,81.71789999999646,7883.97,7583.642299999986,300.3277000000144
NG008,TYPE4,ROUTE3,August,391.76,Moderate,75.83,17982.2,17756.69059999998,225.50940000002083,47203.92,47840.95409999997,637.0340999999753
NG008,TYPE4,ROUTE1,September,169.25,Stormy,89.83,6930.12,6845.149199999999,84.97080000000096,17600.82,17908.195700000004,307.37570000000414
NG008,TYPE4,ROUTE4,October,370.45,Calm,72.13,12931.31,13535.170600000027,603.8606000000273,33622.72,35133.72430000006,1511.0043000000587
NG008,TYPE4,ROUTE1,November,76.76,Moderate,80.94,2479.81,3211.749599999998,731.9395999999979,6662.18,8731.291799999995,2069.111799999995
NG008,TYPE4,ROUTE3,December,497.16,Calm,72.14,24648.52,23443.111400000005,1205.4085999999952,62802.03,61637.120700000014,1164.9092999999848
NG009,TYPE2,ROUTE4,January,147.06,Stormy,78.5,3316.45,3477.418400000004,160.9684000000043,8935.16,9625.028400000003,689.868400000003
NG009,TYPE2,ROUTE3,February,196.74,Moderate,72.16,4024.81,4140.475499999998,115.66549999999779,10349.66,11102.652700000002,752.9927000000025
NG009,TYPE2,ROUTE2,March,120.31,Moderate,92.48,2428.08,2723.647799999998,295.567799999998,6772.76,7605.774400000006,833.0144000000055
NG009,TYPE2,ROUTE2,April,60.39,Calm,85.31,1496.07,1560.758000000003,64.68800000000306,4418.47,4461.551599999994,43.08159999999407
NG009,TYPE2,ROUTE1,May,160.89,Moderate,78.4,4216.46,4098.140200000005,118.31979999999476,11326.37,11029.782900000002,296.5870999999988
NG009,TYPE2,ROUTE3,June,58.09,Calm,74.19,1483.01,1418.0237999999986,64.98620000000142,4235.63,3985.6785,249.95150000000012
NG009,TYPE2,ROUTE4,July,155.88,Moderate,84.86,4394.18,4186.789799999997,207.39020000000346,11695.71,11491.279599999987,204.430400000012
NG009,TYPE2,ROUTE2,August,195.5,Stormy,89.13,5815.26,5502.489400000004,312.7705999999962,15340.23,14981.31239999999,358.91760000000977
NG009,TYPE2,ROUTE3,September,69.55,Stormy,72.15,1745.22,1803.0056,57.78559999999993,4771.84,4956.462700000005,184.62270000000444
NG009,TYPE2,ROUTE2,October,128.88,Calm,80.41,3721.28,3667.3115000000043,53.968499999995856,10572.4,10134.72400000001,437.6759999999904
NG009,TYPE2,ROUTE1,November,149.46,Moderate,82.77,3676.47,3959.8862999999988,283.41629999999896,10273.74,11082.866300000012,809.1263000000126
NG009,TYPE2,ROUTE4,December,60.39,Stormy,79.72,1780.88,1650.1195000000016,130.7604999999985,4538.11,4479.028699999996,59.081300000003466
NG010,TYPE2,ROUTE2,January,90.31,Moderate,84.4,2085.04,2123.954200000001,38.914200000001074,5709.45,6135.813999999997,426.36399999999685
NG010,TYPE2,ROUTE1,February,116.16,Moderate,74.28,3342.71,3217.4878,125.22220000000016,9197.1,8824.446199999997,372.6538000000037
NG010,TYPE2,ROUTE1,March,181.07,Stormy,83.54,5373.33,5158.675200000003,214.6547999999966,15851.55,14692.789400000016,1158.7605999999832
NG010,TYPE2,ROUTE3,April,72.16,Calm,91.0,1503.64,1598.691600000001,95.05160000000092,3763.5,4208.455499999999,444.9554999999991
NG010,TYPE2,ROUTE1,May,155.61,Moderate,71.13,4035.01,4020.142100000005,14.867899999995188,10876.77,11002.107700000002,125.33770000000186
NG010,TYPE2,ROUTE2,June,195.89,Calm,72.2,4092.86,4221.252799999993,128.3927999999928,11820.35,11868.677099999997,48.32709999999679
NG010,TYPE2,ROUTE3,July,168.1,Calm,81.59,4787.33,4591.751200000002,195.5787999999975,13209.23,12340.935899999997,868.2941000000028
NG010,TYPE2,ROUTE1,August,55.75,Calm,89.36,1464.76,1404.066699999999,60.693300000001045,4235.17,4045.809199999998,189.3608000000022
NG010,TYPE2,ROUTE4,September,108.17,Moderate,73.43,2888.41,2745.9347999999986,142.47520000000122,7983.75,7467.308600000002,516.4413999999979
NG010,TYPE2,ROUTE3,October,107.53,Moderate,84.23,2186.22,2732.8559999999993,546.6359999999995,6536.29,7514.077699999998,977.787699999998
NG010,TYPE2,ROUTE1,November,81.16,Stormy,85.69,1980.04,2000.1127999999999,20.072799999999916,5046.94,5179.8785000000025,132.93850000000293
NG010,TYPE2,ROUTE2,December,167.25,Moderate,92.63,4376.41,4457.953499999996,81.54349999999613,12430.79,12619.687300000016,188.8973000000151
NG011,TYPE1,ROUTE1,January,23.66,Moderate,86.98,609.4,664.9648000000007,55.56480000000067,1555.32,1723.5513000000024,168.23130000000242
NG011,TYPE1,ROUTE4,February,34.39,Stormy,80.47,944.69,976.7856000000006,32.09560000000056,2598.62,2618.856599999998,20.236599999997907
NG011,TYPE1,ROUTE1,March,82.31,Calm,74.3,2060.96,2228.3617,167.4016999999999,6014.03,6383.228300000009,369.1983000000091
NG011,TYPE1,ROUTE2,April,57.76,Stormy,92.78,1754.24,1723.5930999999991,30.64690000000087,5109.37,4866.767099999996,242.6029000000035
NG011,TYPE1,ROUTE2,May,142.27,Moderate,78.94,4337.09,4385.956200000002,48.86620000000221,11587.23,11750.593199999988,163.36319999998886
NG011,TYPE1,ROUTE3,June,31.26,Calm,88.97,1060.94,1002.6676000000008,58.272399999999266,2708.64,2602.4257000000043,106.21429999999555
NG011,TYPE1,ROUTE3,July,66.04,Moderate,76.42,2238.1,2088.651400000002,149.4485999999979,5922.4,5473.306700000005,449.093299999995
NG011,TYPE1,ROUTE1,August,53.74,Calm,70.4,1696.23,1619.2686000000003,76.96139999999968,4353.09,4317.778700000006,35.311299999993935
NG011,TYPE1,ROUTE1,September,73.53,Stormy,80.77,2550.0,2404.8449,145.15509999999995,6745.12,6443.292899999998,301.82710000000225
NG011,TYPE1,ROUTE2,October,39.69,Moderate,91.55,1148.01,1162.5674999999992,14.557499999999209,3218.44,3268.567700000001,50.127700000000914
NG011,TYPE1,ROUTE3,November,103.11,Calm,85.64,3480.94,3198.022800000002,282.91719999999805,9054.82,8922.546999999995,132.27300000000469
NG011,TYPE1,ROUTE4,December,39.03,Moderate,70.59,1252.65,1255.8836999999985,3.2336999999984073,3484.36,3440.5219999999936,43.83800000000656
NG012,TYPE4,ROUTE3,January,337.43,Calm,71.85,10786.95,12089.777699999984,1302.8276999999835,30075.54,33494.28130000001,3418.741300000009
NG012,TYPE4,ROUTE2,February,364.78,Stormy,83.8,11631.0,12650.147099999996,1019.1470999999965,30068.28,33802.72219999997,3734.4421999999686
NG012,TYPE4,ROUTE1,March,490.16,Calm,93.41,24321.4,22291.913699999972,2029.4863000000296,71871.21,64968.96169999997,6902.248300000036
NG012,TYPE4,ROUTE2,April,262.21,Stormy,71.69,9880.04,10123.561200000011,243.52120000001014,27274.67,27690.498699999975,415.8286999999764
NG012,TYPE4,ROUTE3,May,339.19,Stormy,82.05,13915.91,13396.512099999998,519.3979000000018,35657.08,36009.51790000002,352.437900000019
NG012,TYPE4,ROUTE2,June,326.44,Calm,80.76,15694.62,14768.656800000024,925.9631999999765,44439.3,41548.40079999994,2890.8992000000653
NG012,TYPE4,ROUTE3,July,246.4,Moderate,92.15,11651.89,10941.086700000002,710.8032999999978,29877.46,28732.835899999984,1144.6241000000155
NG012,TYPE4,ROUTE4,August,136.52,Stormy,70.18,5869.98,5431.502699999992,438.47730000000774,16904.2,15453.67929999999,1450.52070000001
NG012,TYPE4,ROUTE4,September,414.23,Calm,76.3,15346.28,15406.611000000019,60.33100000001832,39498.78,40751.68639999996,1252.9063999999635
NG012,TYPE4,ROUTE3,October,356.17,Moderate,80.23,16579.07,15540.661899999996,1038.4081000000042,42773.35,41349.65040000004,1423.6995999999563
NG012,TYPE4,ROUTE4,November,248.94,Calm,83.31,11621.25,11156.135400000001,465.114599999999,31172.3,30291.34299999998,880.9570000000203
NG012,TYPE4,ROUTE3,December,345.77,Calm,89.28,16431.99,15267.151799999998,1164.8382000000038,47054.45,43036.47910000005,4017.9708999999493
NG013,TYPE3,ROUTE1,January,168.03,Stormy,90.96,2554.21,2561.9753999999984,7.765399999998408,6460.12,6847.0641,386.9440999999997
NG013,TYPE3,ROUTE4,February,37.91,Stormy,93.45,531.28,533.5811999999994,2.301199999999426,1498.87,1484.8138999999983,14.056100000001607
NG013,TYPE3,ROUTE3,March,88.47,Calm,73.06,894.06,1613.6313000000007,719.5713000000007,2315.14,4485.4045000000015,2170.2645000000016
NG013,TYPE3,ROUTE2,April,102.3,Moderate,93.8,1327.33,1440.79,113.46000000000004,3418.28,3791.407100000005,373.1271000000047
NG013,TYPE3,ROUTE3,May,177.6,Stormy,86.97,2987.42,2797.156600000004,190.26339999999618,8689.15,7831.00160000001,858.14839999999
NG013,TYPE3,ROUTE2,June,45.92,Moderate,85.99,657.61,676.7230000000001,19.113000000000056,1742.76,1832.3207000000004,89.56070000000045
NG013,TYPE3,ROUTE3,July,131.34,Moderate,82.34,2094.87,1932.5030999999979,162.36690000000203,5529.58,5219.073899999999,310.5061000000005
NG013,TYPE3,ROUTE2,August,46.49,Moderate,81.9,833.03,809.3355999999995,23.694400000000428,2310.76,2227.5461000000014,83.21389999999883
NG013,TYPE3,ROUTE2,September,136.27,Stormy,81.11,1467.34,1572.561599999998,105.22159999999803,3947.94,4259.732799999999,311.7927999999988
NG013,TYPE3,ROUTE2,October,167.82,Stormy,82.78,2207.3,2214.9297999999985,7.62979999999834,5567.56,5679.6241,112.0640999999996
NG013,TYPE3,ROUTE2,November,33.98,Calm,93.83,527.21,515.6601999999996,11.54980000000046,1472.81,1456.2729999999983,16.537000000001626
NG013,TYPE3,ROUTE4,December,61.71,Calm,89.22,708.64,832.943,124.303,1972.82,2234.9845000000023,262.16450000000236
NG014,TYPE1,ROUTE1,January,85.61,Moderate,77.99,2894.95,2772.5915000000036,122.35849999999618,7396.44,7318.069299999989,78.3707000000104
NG014,TYPE1,ROUTE1,February,44.59,Stormy,77.98,1336.88,1323.8242000000007,13.055799999999408,3435.55,3513.7468999999955,78.19689999999537
NG014,TYPE1,ROUTE3,March,53.32,Calm,86.97,1396.44,1481.3088000000007,84.86880000000065,3554.43,3920.1959999999967,365.7659999999969
NG014,TYPE1,ROUTE3,April,82.9,Moderate,93.5,2340.87,2431.4024999999983,90.53249999999844,5943.84,6347.863200000002,404.02320000000145
NG014,TYPE1,ROUTE2,May,132.17,Calm,89.39,3374.09,3582.552200000002,208.46220000000176,10111.98,10357.105799999992,245.12579999999252
NG014,TYPE1,ROUTE2,June,37.34,Stormy,94.22,1113.36,1136.3388000000004,22.978800000000547,3092.61,3086.896499999995,5.713500000005297
NG014,TYPE1,ROUTE1,July,56.09,Moderate,91.91,1542.52,1566.0039999999997,23.483999999999696,3879.94,4110.933200000001,230.99320000000125
NG014,TYPE1,ROUTE3,August,76.32,Moderate,81.5,1982.49,2318.0403999999994,335.5503999999994,5008.68,6297.824499999997,1289.1444999999967
NG014,TYPE1,ROUTE1,September,77.13,Calm,82.28,2561.67,2491.010700000002,70.65929999999798,7594.88,7269.991599999998,324.88840000000255
NG014,TYPE1,ROUTE2,October,69.53,Stormy,79.36,1768.84,1948.7677999999985,179.92779999999857,4431.63,5064.842800000002,633.2128000000021
NG014,TYPE1,ROUTE3,November,114.4,Calm,87.1,3790.28,3554.5960000000055,235.68399999999474,10702.83,9981.348099999992,721.481900000008
NG014,TYPE1,ROUTE1,December,113.4,Calm,88.55,3527.25,3471.292699999999,55.95730000000094,10579.04,9927.08610000001,651.9538999999913
NG015,TYPE3,ROUTE3,January,39.1,Calm,73.53,548.06,588.8040999999997,40.744099999999776,1536.98,1644.9189000000003,107.93890000000033
NG015,TYPE3,ROUTE2,February,188.79,Moderate,71.59,2733.8,2657.6517999999965,76.14820000000373,7133.15,7130.342600000008,2.807399999991503
NG015,TYPE3,ROUTE4,March,196.02,Calm,71.86,3806.45,3187.8098999999966,618.6401000000033,10435.41,8744.038199999999,1691.3718000000008
NG015,TYPE3,ROUTE2,April,64.54,Calm,83.99,680.75,829.1315000000002,148.3815000000002,1985.48,2320.1758000000013,334.6958000000013
NG015,TYPE3,ROUTE3,May,71.33,Moderate,72.48,1357.57,1200.5313000000008,157.03869999999915,3937.98,3125.0934000000007,812.8865999999994
NG015,TYPE3,ROUTE3,June,102.7,Moderate,80.83,1150.8,1414.0969999999993,263.29699999999934,2900.92,3787.4921000000036,886.5721000000035
NG015,TYPE3,ROUTE2,July,191.96,Stormy,80.93,3549.18,3371.109899999994,178.07010000000582,9897.46,9238.413799999993,659.0462000000061
NG015,TYPE3,ROUTE1,August,72.07,Stormy,84.52,1033.06,1012.103999999999,20.956000000000927,2664.76,2686.343900000003,21.583900000002814
NG015,TYPE3,ROUTE4,September,198.44,Stormy,93.36,2499.7,2758.300800000002,258.600800000002,6960.11,7443.873399999996,483.7633999999962
NG015,TYPE3,ROUTE2,October,177.53,Moderate,78.77,2204.22,2320.6929000000014,116.47290000000157,5596.13,6103.6600000000035,507.5300000000034
NG015,TYPE3,ROUTE2,November,29.59,Calm,78.79,564.97,490.6064000000005,74.36359999999951,1580.41,1340.0492000000024,240.36079999999765
NG015,TYPE3,ROUTE4,December,115.37,Moderate,84.44,1805.6,1821.868100000002,16.26810000000205,4575.75,4828.209399999998,252.4593999999979
NG016,TYPE4,ROUTE1,January,281.21,Calm,72.25,12626.91,12513.038600000002,113.87139999999818,37709.61,35869.66620000001,1839.9437999999936
NG016,TYPE4,ROUTE2,February,462.22,Stormy,76.47,19755.51,20069.61029999999,314.10029999999097,50871.25,56156.417800000025,5285.167800000025
NG016,TYPE4,ROUTE3,March,94.26,Moderate,89.94,3204.13,3598.648600000002,394.5186000000017,8662.75,9707.3268,1044.5768000000007
NG016,TYPE4,ROUTE1,April,473.09,Moderate,90.78,20539.4,19635.726699999977,903.673300000024,59961.61,56995.57280000004,2966.0371999999625
NG016,TYPE4,ROUTE3,May,238.81,Stormy,85.61,10796.2,9970.217399999992,825.9826000000085,30427.94,28861.160599999977,1566.7794000000213
